Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2025-07-12,17:50:00,HAMILTON,Stormy Pearl,5f,1,2.88,2.96,0.39539886
2025-07-12,17:50:00,HAMILTON,Pinpoint,5f,4,3.5,4.16,0.21476029
2025-07-12,17:50:00,HAMILTON,Newyorkstateofmind,5f,3,4.0,4.8,0.35342056
2025-07-12,17:50:00,HAMILTON,Sixcor,5f,2,5.5,6.04,0.3302148
2025-07-12,17:50:00,HAMILTON,Colour Code,5f,5,26.0,26.54,0.011557953
2025-07-12,18:25:00,HAMILTON,Utmost Respect,5f,1,1.25,1.31,0.951295
2025-07-12,18:25:00,HAMILTON,Wonderful Friend,5f,2,5.0,5.3,0.6210671
2025-07-12,18:25:00,HAMILTON,Victaz,5f,3,15.0,19.08,0.35210025
2025-07-12,18:25:00,HAMILTON,U Heat,5f,4,201.0,530.0,0.21126257
2025-07-12,19:00:00,HAMILTON,Taygar,6f,4,4.33,4.5,0.34357068
2025-07-12,19:00:00,HAMILTON,Sacred Falls,6f,5,4.5,5.3,0.7569335
2025-07-12,19:00:00,HAMILTON,Top Juggler,6f,2,5.0,5.7,0.5093465
2025-07-12,19:00:00,HAMILTON,Monsieur Kodi,6f,1,6.0,7.0,0.27578747
2025-07-12,19:00:00,HAMILTON,Infinity Blue,6f,7,7.0,7.6,0.09711306
2025-07-12,19:00:00,HAMILTON,Montezuma,6f,3,11.0,13.21,0.08786453
2025-07-12,19:00:00,HAMILTON,Catherine Chroi,6f,6,12.0,13.0,0.05748321
2025-07-12,19:30:00,HAMILTON,Talismans Time,1m5f,1,1.62,1.65,0.91726035
2025-07-12,19:30:00,HAMILTON,Spanish Hustle,1m5f,2,6.0,6.51,0.1006383
2025-07-12,19:30:00,HAMILTON,Two Auld Pals,1m5f,4,7.5,9.51,0.089076266
2025-07-12,19:30:00,HAMILTON,Ancient Myth,1m5f,5,9.0,9.54,0.12703039
2025-07-12,19:30:00,HAMILTON,Tafsir,1m5f,3,19.0,24.0,0.06285471
2025-07-12,20:00:00,HAMILTON,A War Eagle,1m½f,2,2.0,2.24,0.85205626
2025-07-12,20:00:00,HAMILTON,Rainwater,1m½f,6,6.5,7.8,0.09504274
2025-07-12,20:00:00,HAMILTON,Sir Paul Ramsey,1m½f,1,7.5,8.15,0.24221218
2025-07-12,20:00:00,HAMILTON,Makeen,1m½f,7,11.0,12.83,0.091183685
2025-07-12,20:00:00,HAMILTON,Criminal Shore,1m½f,3,12.0,15.5,0.32687187
2025-07-12,20:00:00,HAMILTON,King Of Fury,1m½f,5,12.0,13.67,0.23118809
2025-07-12,20:00:00,HAMILTON,Hes Got Game,1m½f,8,19.0,23.0,0.0126764625
2025-07-12,20:00:00,HAMILTON,Shine On Brendan,1m½f,4,19.0,22.53,0.008274384
2025-07-12,20:00:00,HAMILTON,Beechdale,1m½f,9,151.0,450.0,0.003381658
2025-07-12,20:30:00,HAMILTON,Roman Harry,1m½f,9,4.33,4.74,0.25203928
