Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability,Race_ID,Predicted_Rank,Top_3_Flag,Odds_To_Use,Expected_Value,Field_Size,Kelly_Fraction,Reject_Reason,Winrate_Threshold,Bet_Placed,Stake,Actual_Result,Bet_Return,Bankroll_After_Race
2023-05-07,13:30:00,HAMILTON,Gustav Graves,5f,2.0,4.0,4.89,0.2629005270384163,2023-05-07_13:30:00,2.0,True,4.0,0.05160210815366528,6,0.017200702717888428,ev_low|,0,False,0.0,0,0.0,9900.0
2023-05-07,14:35:00,HAMILTON,Tajalla,5f,1.0,2.0,2.16,0.42385332845184576,2023-05-07_14:35:00,1.0,True,2.0,-0.1522933430963085,6,-0.1522933430963085,kelly_low|ev_low|,0,False,0.0,1,0.0,9801.0
2023-05-07,15:50:00,HAMILTON,Leap Year Lad,1m½f,1.0,3.25,3.57,0.2920333167330004,2023-05-07_15:50:00,1.0,True,3.25,-0.050891720617748604,6,-0.022618542496777156,kelly_low|ev_low|,0,False,0.0,1,0.0,9702.99
2023-05-07,15:50:00,HAMILTON,Arkenstaar,1m½f,2.0,3.75,3.56,0.27903951475028255,2023-05-07_15:50:00,2.0,True,3.75,0.04639818031355958,6,0.01687206556856712,ev_low|,0,False,0.0,0,0.0,9702.99
2023-05-14,15:45:00,HAMILTON,Moonstone Boy,5f,2.0,2.25,2.25,0.3114250717848561,2023-05-14_15:45:00,1.0,True,2.25,-0.2992935884840737,5,-0.23943487078725897,kelly_low|ev_low|,0,False,0.0,0,0.0,9605.9601
2023-05-14,15:45:00,HAMILTON,Golden Arrow,5f,1.0,2.63,3.01,0.2871180168836423,2023-05-14_15:45:00,2.0,True,2.63,-0.24487961559602084,5,-0.15023289300369377,kelly_low|ev_low|,0,False,0.0,1,0.0,9605.9601
2023-05-19,19:25:00,HAMILTON,Beattie Is Back,6f,5.0,4.0,4.36,0.2561334363598012,2023-05-19_19:25:00,2.0,True,4.0,0.024533745439204724,6,0.008177915146401574,kelly_low|ev_low|,0,False,0.0,0,0.0,9509.900499
2023-05-31,15:20:00,HAMILTON,Lord Abama,6f,2.0,3.25,3.78,0.2896953029570687,2023-05-31_15:20:00,2.0,True,3.25,-0.05849026538952673,6,-0.025995673506456325,kelly_low|ev_low|,0,False,0.0,0,0.0,9509.900499
2023-05-31,15:20:00,HAMILTON,Swiss Ace,6f,5.0,3.25,3.6,0.33339873630098416,2023-05-31_15:20:00,1.0,True,3.25,0.08354589297819848,6,0.03713150799031043,ev_low|,0,False,0.0,0,0.0,9509.900499
2023-05-31,15:50:00,HAMILTON,Sea Grey,1m3f,5.0,3.25,3.43,0.24176689284477393,2023-05-31_15:50:00,2.0,True,3.25,-0.21425759825448476,5,-0.09522559922421545,kelly_low|ev_low|,0,False,0.0,0,0.0,9700.09850898
2023-06-08,14:00:00,HAMILTON,Swordplay,6f,1.0,1.44,1.49,0.5606562603397913,2023-06-08_14:00:00,1.0,True,1.44,-0.19265498511070053,5,-0.4378522388879558,kelly_low|ev_low|odds_low|,0,False,0.0,1,0.0,9733.929558461816
2023-06-08,14:30:00,HAMILTON,Talha,6f,2.0,2.75,2.84,0.30438876586352137,2023-06-08_14:30:00,2.0,True,2.75,-0.16293089387531623,5,-0.09310336792875214,kelly_low|ev_low|,0,False,0.0,0,0.0,9841.002783604896
2023-06-08,16:10:00,HAMILTON,Thermoscope,1m5f,3.0,2.1,2.15,0.43356275720896464,2023-06-08_16:10:00,1.0,True,2.1,-0.0895182098611742,4,-0.08138019078288564,kelly_low|ev_low|,0,False,0.0,0,0.0,9841.002783604896
2023-06-08,16:10:00,HAMILTON,La Pulga,1m5f,1.0,2.88,3.05,0.3644446004464551,2023-06-08_16:10:00,2.0,True,2.88,0.04960044928579066,4,0.0263832177052078,ev_low|,0,False,0.0,1,0.0,9841.002783604896
2023-06-08,16:45:00,HAMILTON,Yaaser,6f,3.0,4.2,4.71,0.16583840380816323,2023-06-08_16:45:00,2.0,True,4.2,-0.3034787040057144,6,-0.09483709500178575,kelly_low|ev_low|,0,False,0.0,0,0.0,9742.592755768846
2023-06-14,18:20:00,HAMILTON,Scoops Ahoy,5f,1.0,1.36,1.37,0.6508353598116149,2023-06-14_18:20:00,1.0,True,1.36,-0.11486391065620369,5,-0.3190664184894546,kelly_low|ev_low|odds_low|,0,False,0.0,1,0.0,9645.166828211159
2023-06-14,18:50:00,HAMILTON,Graces Quest,1m3f,5.0,2.88,3.35,0.3523224227049079,2023-06-14_18:50:00,1.0,True,2.88,0.014688577390134627,6,0.007813073079858845,kelly_low|ev_low|,0,False,0.0,0,0.0,9548.715159929046
2023-06-14,19:20:00,HAMILTON,Rock Of England,6f,1.0,4.5,5.7,0.1933602053077838,2023-06-14_19:20:00,2.0,True,4.5,-0.12987907611497285,6,-0.03710830746142081,kelly_low|ev_low|,0,False,0.0,1,0.0,9453.228008329756
2023-06-14,20:25:00,HAMILTON,Newyorkstateofmind,5f,1.0,3.5,4.3,0.19275595320473396,2023-06-14_20:25:00,2.0,True,3.5,-0.3253541637834312,5,-0.13014166551337247,kelly_low|ev_low|,0,False,0.0,1,0.0,9358.695728246457
2023-06-21,16:40:00,HAMILTON,Gone,1m½f,2.0,1.44,1.46,0.5788273443990439,2023-06-21_16:40:00,1.0,True,1.44,-0.1664886240653768,6,-0.37838323651222,kelly_low|ev_low|odds_low|,0,False,0.0,0,0.0,9449.929408249753
2023-06-29,18:30:00,HAMILTON,Ninety Nine,5f,1.0,2.63,2.81,0.24615774086507738,2023-06-29_18:30:00,1.0,True,2.63,-0.3526051415248465,5,-0.21632217271462978,kelly_low|ev_low|,0,False,0.0,1,0.0,9449.929408249753
2023-06-29,18:30:00,HAMILTON,Bellarchi,5f,2.0,3.0,3.34,0.24300958239179546,2023-06-29_18:30:00,2.0,True,3.0,-0.2709712528246136,5,-0.1354856264123068,kelly_low|ev_low|,0,False,0.0,0,0.0,9449.929408249753
2023-06-29,19:00:00,HAMILTON,Rajmeister,5f,3.0,2.5,2.62,0.3630562773090427,2023-06-29_19:00:00,1.0,True,2.5,-0.09235930672739323,6,-0.06157287115159549,kelly_low|ev_low|,0,False,0.0,0,0.0,9449.929408249753
2023-06-29,19:00:00,HAMILTON,Imperial Khan,5f,2.0,4.2,4.96,0.23556740124371703,2023-06-29_19:00:00,2.0,True,4.2,-0.010616914776388486,6,-0.003317785867621402,kelly_low|ev_low|,0,False,0.0,0,0.0,9449.929408249753
2023-06-29,20:00:00,HAMILTON,Abate,5f,3.0,3.0,3.4,0.2845454336099748,2023-06-29_20:00:00,1.0,True,3.0,-0.14636369917007552,6,-0.07318184958503776,kelly_low|ev_low|,0,False,0.0,0,0.0,9355.430114167255
2023-06-29,20:30:00,HAMILTON,Ajyad,1m3f,1.0,3.5,3.65,0.2740599450226401,2023-06-29_20:30:00,2.0,True,3.5,-0.04079019242075976,5,-0.016316076968303905,kelly_low|ev_low|,0,False,0.0,1,0.0,9261.875813025583
2023-07-04,14:15:00,HAMILTON,Midnight Lir,6f,3.0,1.62,1.64,0.5299992970195008,2023-07-04_14:15:00,1.0,True,1.62,-0.1414011388284087,6,-0.22806635294904626,kelly_low|ev_low|,0,False,0.0,0,0.0,9817.588361807118
2023-07-04,15:17:00,HAMILTON,Eilean Dubh,1m½f,1.0,3.75,4.14,0.2800694255289413,2023-07-04_15:17:00,1.0,True,3.75,0.05026034573353,6,0.018276489357647273,ev_low|,0,False,0.0,1,0.0,9719.412478189048
2023-07-04,15:47:00,HAMILTON,Roaring Legend,1m4f,2.0,2.25,2.35,0.3844548508063642,2023-07-04_15:47:00,1.0,True,2.25,-0.1349765856856805,5,-0.1079812685485444,kelly_low|ev_low|,0,False,0.0,0,0.0,10043.068913712743
2023-07-20,14:20:00,HAMILTON,Valour And Swagger,5f,4.0,2.88,3.29,0.29268847919320085,2023-07-20_14:20:00,2.0,True,2.88,-0.1570571799235816,4,-0.08354105315084127,kelly_low|ev_low|,0,False,0.0,0,0.0,10231.878609290543
2023-07-20,15:25:00,HAMILTON,Bashful,1m1f,1.0,3.75,4.2,0.20672542340573413,2023-07-20_15:25:00,2.0,True,3.75,-0.2247796622284971,5,-0.08173805899218077,kelly_low|ev_low|,0,False,0.0,1,0.0,10129.559823197638
2023-07-21,17:55:00,HAMILTON,Ballymount Boy,6f,1.0,1.91,2.0,0.36634766920959344,2023-07-21_17:55:00,1.0,True,1.91,-0.3002759518096765,4,-0.32997357341722694,kelly_low|ev_low|,0,False,0.0,1,0.0,10028.264224965662
2023-07-21,18:30:00,HAMILTON,Beyond Borders,6f,2.0,1.73,1.76,0.4124799437296437,2023-07-21_18:30:00,1.0,True,1.73,-0.28640969734771643,4,-0.39234205116125537,kelly_low|ev_low|,0,False,0.0,0,0.0,10028.264224965662
2023-07-21,18:30:00,HAMILTON,Up The Jazz,6f,4.0,4.0,4.5,0.22581486731816516,2023-07-21_18:30:00,2.0,True,4.0,-0.09674053072733935,4,-0.03224684357577978,kelly_low|ev_low|,0,False,0.0,0,0.0,10028.264224965662
